name;rating;categories;benefits;description
Acetyl Glucosamine;Best;Antioxidant, Humectant;Hydration, Soothing, Evens Skin Tone;At the time of this writing, the current assessment of acetyl glucosamine by the Cosmetic Ingredient Review is underway with the next meeting with their panel of experts set for September 2021. We will be updating the information as it comes, but preliminary data has shown concentrations as high as 8% acetyl glucosamine can be used in leave-on products without issue.
Acetyl Glyceryl Ricinoleate;Good;Texture Enhancer, Emollient;Hydration;Used as an emollient and thickening agent in cosmetics.
Acetyl Hexapeptide-1;Best;Peptides, Humectant;Anti-Aging, Hydration;Acetyl hexapeptide-1 is a synthetic peptide composed of the amino acids alanine, arginine, histidine, leucine, phenylalanine and tryptophan. It helps skin better defend itself from environmental aggressors by virtue of a calming effect. This peptide can also help promote a visibly more even skin tone by playing a role in how melanin moves through skin.
Acetyl Hexapeptide-37;Best;Peptides, Humectant;Anti-Aging, Hydration;Acetyl hexapeptide-37 is a synthetic peptide composed of the amino acids alanine, proline, serine and glycine. This peptide works with the water channels (known as aquaporins) in skin's surface layers, helping to provide adequate, balanced hydration between skin's layers, a process which alleviates signs of dry, dehydrated skin. Although there isn't independent research confirming the effectiveness of this peptide on skin, the supplier (Lipotec) has made the results of their research available in a lengthy Technical Report that's supported by third-party studies. Between this information and the wider field of published scientific research on peptides for skin, we feel confident recommending this peptide, particularly for dehydrated skin.
Acetyl Hexapeptide-8;Good;Peptides, Humectant;Anti-Aging, Hydration;On the other hand, research has shown this peptide can penetrate further into skin if specific formulary steps are followed, including the type of emulsion (a higher water content showed greater penetration). As always, this demonstrates the importance of selecting well-formulated skin care products to add to your routine.
Acetyl Octapeptide-3;Good;Peptides;Anti-Aging, Hydration;Synthetic peptide that is based around octapeptide-3, a peptide complex composed of the amino acids aspartic acid, glutamic acid, glutamine, and methionine. Also known as SNAP-8, this peptide is said to improve the look of signs of aging formed from repetitive facial expressions, though there’s no independent research supporting this claim. Even if there were independent research, the concentrations used in the company-sponsored testing to support the improvement of signs of aging was 3-10%, which is far greater than what’s typically present in skin care products. Like all peptides it has water-binding properties and theoretical skin-restoring ability. It may play a role in helping skin look younger, and can help hydrate and smooth skin.
Acetyl Tetrapeptide-11;Best;Peptides;Anti-Aging, Hydration;A synthetic peptide created by the acetylation (a chemical reaction that joins a stronger substance with a weaker one) of tetrapeptide-11, which is made up of amino acids leucine, proline and tyrosine. Acetyl tetrapeptide-11 helps skin become healthier by interacting with a signaling protein in skin’s surface that addresses how it looks and feels.
Acetyl Tetrapeptide-5;Best;Peptides, Humectant;Anti-Aging, Soothing;A synthetic peptide that has calming, smoothing, hydrating, and firmness-enhancing benefits when applied to skin. Its calming properties are believed to reduce undereye puffiness due to fluid accumulation, such as from allergies (which is not the same as undereye bags that occur from fat pads beneath the skin slipping out of place).This peptide is also believed to interrupt a process in skin known as glycation, which can cause skin's supportive elements to weaken, giving way to wrinkles and loss of firmness. Acetyl tetrapeptide-5 seems to step in and help skin maintain a smooth resilience that results in a more youthful look.
Acetyl Tetrapeptide-9;Best;Peptides, Humectant;Anti-Aging;A synthetic peptide created by the acetylation (a chemical reaction that joins a stronger substance with a weaker one) of tetrapeptide-9, which is composed of the amino acids aspartic acid, glutamine, histidine and valine.Acetyl tetrapeptide-9 helps visibly restore skin's natural support, including a specialized protein known as lumican, which helps keep skin smooth and taut.
Acetyl Tributyl Citrate;Average;Film-Forming Agent;;Related to citric acid and used as a plasticizer, most commonly in nail polish and nail-hardening products.
Acetyl Tyrosine;Good;Texture Enhancer;Hydration;An amino acid complex that functions as a skin-conditioning agent. There is no research proving it has a restoring or brightening effect on skin.
Achillea Millefolium;Worst;Fragrance: Synthetic and Natural, Plant Extracts, Antioxidant;;
Achillea Millefolium Extract;Worst;Irritant, Plant Extracts;;Extract for which there is little research showing it to have any benefit for skin. What studies do exist were performed in vitro, and indicate that it may have skin-soothing properties. However, yarrow also has properties that may cause skin sensitivity and photosensitivity.
Acid;Average;Exfoliant, pH Adjuster/Stabilizer;;"Anything with a pH lower than 7 is considered acidic; above 7 is considered alkaline. Water has a pH of 7. Skin has an average pH of 5.5"
Acne Soap;Worst;Cleansing Agent, Irritant;;Soaps that often contain strong cleansing ingredients, they are often overly drying and sensitizing to skin.
Acrylate;Good;Texture Enhancer, Film-Forming Agent, pH Adjuster/Stabilizer;;
Acrylates/C10-30 Alkyl Acrylate Crosspolymer;Good;Texture Enhancer, pH Adjuster/Stabilizer, Polymer;;According to its manufacturer (which sells acrylates/c10-30 aklyl acrylate crosspolymer under the name “Pemulen TR-2”) its ability to create stable and mild oil-in-water emulsions makes it particularly suitable for skin care products that are applied through spray mechanisms.
Acrylates/Dimethicone Copolymer;Good;Texture Enhancer, Film-Forming Agent, Polymer;;Silicone-enhanced film-forming agent. Also functions as a binding agent so products adhere better to skin.
Acrylates/Steareth-20 Methacrylate Copolymer;Good;Texture Enhancer, Film-Forming Agent, Polymer;;The independent Cosmetic Ingredient Review board has found acrylates/steareth-20 methacrylate copolymer safe as used in cosmetics. Typical concentration range is from 0.75–1%.
Acrylates Copolymer;Good;Texture Enhancer, Film-Forming Agent, Emollient;Hydration;
Actaea Racemosa;Average;Antioxidant, Plant Extracts;;
Actinidia Chinensis (Kiwi Fruit) Extract;Best;Antioxidant, Plant Extracts;Anti-Aging;Kiwi fruit extract is an excellent source of antioxidants for skin, including vitamin C and several polyphenols. The antioxidants in kiwi can help defend skin from the visible effects of airborne pollutants. Kiwi fruit is also a good source of the carotenoid antioxidant lutein.
Adenosine;Best;Plant Extracts;Soothing;Adenosine is described as a white, odorless, crystalline powder in its raw form.
Adenosine Phosphate;Best;Antioxidant;Soothing;A skin-soothing and restoring ingredient that's structurally similar to adenosine triphosphate. It's sometimes referred to as adenosine monophosphate, or AMP. Applied to skin, AMP helps create pathways within skin's surface that assist with energy transport. This can visibly revitalize tired-looking, stressed skin.
Adenosine Triphosphate;Best;Antioxidant;Soothing;Organic compound from adenosine, which is formed by the hydrolysis of yeast nucleic acids.Research has shown that ATP appears to have strong potential as a skin-restoring ingredient and as a soothing agent.
Adipic Acid/Neopentyl Glycol/Trimellitic Anhydride Copolymer;Good;Texture Enhancer, Film-Forming Agent, Polymer;;A synthetic polymer.
Advanced Glycation Endproduct (AGE);Worst;Irritant;;"Advanced glycation end-products (AGEs) are destructive substances generated in the body when we consume refined sugars and due to environmental exposure without adequate protection. But first, a bit of back story...
One of the more depressing skin care facts we can think of is how bad dietary sugar or high glycemic index foods (foods that turn to sugar almost immediately after eating them) are for almost every aspect of your skin. Chocolate cake, honey-drenched sweets, ice cream sundaes, bread pudding, and on and on (and we could go on and on) cause very bad things to happen to skin. UV light and air pollutants are attacking your skin from the outside in, and sugar is attacking it from the inside out.
What’s the relationship between sugar and AGEs? Sugars quickly and strongly bind to proteins in the skin (proteins are the main building blocks of skin) forming AGEs that progressively and continually destroy many aspects of skin, especially elastin and collagen, the two substances that give skin its firmness and resilience. Once generated, AGEs begin a cascade of progressive damage that isn’t easy to stop or reverse.
Research has also shown AGEs can cause abnormal melanin production that leads to the formation of brown spots and mottled skin discolorations. Another ironic acronym for this is RAGEs, meaning a receptor site for AGEs that induces unhealthy melanin production.
Although sugar is certainly a major culprit in the skin-damaging creation of AGEs, so is something called the Maillard Reaction (MR). The Maillard Reaction is what happens when you cook any food and brown or blacken it with high heat. That means steaming or sautéeing food without browning is far healthier for your skin and body. And chargrilling foods, especially meats, at high heat is even worse! Our apologies to those who prefer their steaks well done.
While some skin care companies claim their products contain ingredients that can block AGEs from forming, that benefit hasn’t been supported anywhere in the research. In the meantime, while science is working on this insidious problem, eating a low sugar diet that’s rich in antioxidants, complex carbohydrates, and omega fatty acids is by far the best approach for younger-looking, healthy skin from the inside out (and when you put those ingredients on your skin it can help from the outside in too, it’s just not clear how much that helps control the visible effects of AGEs; however, a huge amount of research shows those ingredients to be beneficial for skin overall).
What about the occasional sweet treat? Although we can’t change what eating refined sugars does to your skin (and yes, this includes so-called sugar substitutes like raw honey and agave nectar, both of which the body recognizes as simple sugars), we also realize that sweets play a role in the pleasures of eating and celebrating. The trick is to keep it in moderation, meaning an occasional, judicious indulgence rather than daily consumption of desserts, sugary sodas, and flavored coffee drinks, the latter of which can contain an alarming amount of sugars."
Aerocarpus Santalinus;Worst;Fragrance: Synthetic and Natural, Plant Extracts;;
Aesculus Hippocastanum;Good;Antioxidant, Plant Extracts;Soothing, Anti-Aging;
Agar;Good;Plant Extracts, Antioxidant, Texture Enhancer;Hydration;Agar is an algae-based natural ingredient that serves as a thickener in cosmetics.
Agastache Mexicana (Hyssop) Flower/Leaf/Stem Extract;Good;Plant Extracts, Antioxidant;Anti-Aging;"Agastache mexicana (also known as hyssop) is a flowering shrub native to North America that’s an edible plant with an anise-like flavor and aroma. The flower, leaf, and stem are sources of antioxidants, including hesperetin, apigenin, salvigenin, kaempferol, and quercetin. Research on this plant’s direct benefit to skin is somewhat lacking; however, its antioxidant and calming abilities means it complements the benefits of more proven antioxidants."
AGE;Worst;Irritant;;
Agrimonia Eupatoria Leaf Extract;Good;Plant Extracts, Antioxidant;;Research shows this plant extract has antioxidant properties. Whether or not it has a benefit when applied topically is not known.
AHA;Best;Exfoliant, Humectant;Anti-Aging, Dark Spot Fading, Evens Skin Tone;Note: AHAs are of little benefit when added to rinse-off products, as their contact with skin is too brief for them to function as exfoliants or absorb into skin.
Ahnfeltia Concinna Extract;Good;Antioxidant, Plant Extracts, Texture Enhancer;Soothing, Anti-Aging;
Ahnfeltia Extract;Good;Antioxidant, Plant Extracts, Texture Enhancer;Soothing;
Ahnfeltiopsis Concinna Extract;Best;Antioxidant, Plant Extracts, Humectant;Hydration, Soothing;Type of red algae with calming and hydrating properties for skin.
Alanine;Good;Antioxidant;Anti-Aging;
Alaria Esculenta Extract;Good;Antioxidant, Plant Extracts, Texture Enhancer;Hydration;Alaria esculenta extract is a type of brown seaweed also known as badderlocks, used topically as an antioxidant and hydrating agent due to its mix of replenishing fatty acids.
Albumin;Worst;Texture Enhancer, Film-Forming Agent;;Found in egg white, and can leave a film over skin. It can constrict skin temporarily, which can make it look smoother temporarily, but it can also cause sensitivity and is not helpful for skin.
Alcloxa;Worst;Irritant;;More technically known as aluminum chlorhydroxy allantoinate, alcloxa has constricting properties that can be sensitizing to skin.
Alcohol;Average;Emollient, Cleansing Agent, Irritant;Hydration;In short, for the healthy appearance of skin at any age, avoiding products that contain high amounts of the drying, sensitizing types of alcohol is a non-negotiable skin care must.
Aleurites Moluccana Seed Oil;Best;Emollient, Antioxidant, Plant Extracts;Hydration, Anti-Aging;
Alfalfa Extract;Best;Antioxidant, Plant Extracts;Anti-Aging;Can be an antioxidant in skin care products.
Algae;Best;Antioxidant, Plant Extracts, Emollient;Anti-Aging, Hydration, Soothing;New research shows forms of brown algae show promise for improving the appearance of aging skin. As a plant ingredient, all types of algae are prone to breaking down with routine exposure to air and light. Because of this, avoid anti-aging products with algae that are packaged in jars.
Algae Extract;Best;Antioxidant, Plant Extracts, Emollient;Anti-Aging, Hydration, Soothing;
Algin;Good;Antioxidant, Plant Extracts, Emollient;Anti-Aging, Hydration, Soothing;Brown algae.
Aliphatic Hydrocarbon;Good;Emollient, Texture Enhancer;Hydration;Hydrocarbon contained in natural gas and mineral oils. It is a synthetic fluid with varying properties.
Alkaline;Worst;Irritant;;"Anything with a pH higher than 7 is alkaline; a pH below 7 is acidic. Water has a pH of 7; skin has an average pH of 5.5. Skin sensitization can be caused by products with a pH of 8 or higher. Also, research indicates that the bacteria on skin proliferates in alkaline environmental."
Alkyloamides;Bad;Texture Enhancer;;Identified on skin care product labels as DEA, triethanolamine (TEA), and monoethanolamine (MEA), these are used primarily for their foaming ability in shampoos, but can also be used as thickening or binding agents. They can be skin sensitizers. In addition, alkyloamides contain a free amine that can combine with formaldehyde-releasing preservatives in cosmetics, and there is concern that they may form harmful substances.
Allantoin;Best;Plant Extracts;Soothing;In cosmetics, it is used in concentrations up to 2%, but in clinical settings it can be used in greater amounts, where research has shown it can have an impact on healing. In the United States, it is FDA-approved as an over the counter (OTC) skin protectant in concentrations of 0.5-2%.
Allyl Methacrylates Crosspolymer;Good;Film-Forming Agent, Texture Enhancer, Polymer;;Synthetic, non-aqueous polymer whose chief function is as a texture enhancer.
Almond/Borage/Linseed/Olive Acids Glycerides;Best;Emollient, Antioxidant;Hydration, Anti-Aging;A mixture of the fatty acid and triglyceride components of several non-fragrant plant oils, including almond, borage, linseed, and olive. This blend hydrates and replenishes skin, provides antioxidant benefits, and can enhance skin's natural resilience.
Almond Oil;Best;Emollient, Plant Extracts;Hydration;Also known as sweet almond oil, this is a non-volatile, non-fragrant oil extracted from the seeds of almonds and used as an emollient. Almond oil is a rich source of skin-replenishing ingredients including triglycerides and several fatty acids (oleic, linoleic, and myristic among them). It is not known to cause sensitivity.Almonds (_Prunus amygdalus_) can be sweet or bitter. Sweet almond is listed in Latin as Prunus amygdalus or Prunus dulcis and does not contain harmful constituents. Bitter almond comes from another species, Prunus amara, and does contain harmful constituents that shouldn’t be applied to skin.
Aloe Barbadensis;Best;Plant Extracts, Humectant;Hydration, Soothing;
Aloe Barbadensis Leaf Juice Extract;Best;Plant Extracts, Humectant;Hydration, Soothing;May also be listed as aloe barbadensis leaf juice powder, aloe extract, or aloe juice.
Aloe Barbadensis Leaf Juice Powder;Best;Plant Extracts;Anti-Aging;Aloe barabadensis leaf juice powder is the powder form of the aloe plant. It is obtained from dried leaves of the aloe plant and functions as a skin-conditioning agent.
Aloe Extract;Best;Plant Extracts, Humectant;Hydration, Soothing;
Aloe Juice;Best;Plant Extracts, Humectant;Hydration, Soothing;
Aloe Vera;Best;Plant Extracts, Humectant;Hydration, Soothing;Note: Some brands use aloe in place of water in their products, but aloe is actually 99.5% water.
Alpha Bisabolol;Best;Plant Extracts, Antioxidant;Anti-Aging, Soothing;
Alpha Glucan Oligosaccharide;Best;Emollient, Plant Extracts;Hydration;Emollient used in cosmetics that also has water-binding properties.
Alpha Hydroxy Acid;Best;Exfoliant, Humectant;Anti-Aging, Hydration, Evens Skin Tone;
Alpha Isomethyl Ionone;Worst;Fragrance: Synthetic and Natural, Irritant;;Volatile fragrance and flavoring ingredient that must be listed on products that contain it due to its risk of causing a sensitized reaction at concentations as low as 0.001%. It’s an ingredient to avoid if you have sensitive skin, especially because it’s almost always combined with other volatile fragrance components such as linalool and eugenol.
Alpha Lipoic Acid;Best;Antioxidant;Anti-Aging;"Alpha lipoic acid is an enzyme that, when applied topically on skin, appears to be a very good antioxidant. Taken internally, alpha lipoic acid is a water- and fat-soluble antioxidant capable of regenerating other antioxidants, such as vitamins C and E. It is also believed to exert numerous soothing effects. It's clear from the research that alpha lipoic acid is a potent antioxidant, but it isn't the only one; there are lots of great antioxidants for skinâ€”in fact, there isn't a lot of research on topical application of alpha lipoic acid. Alpha lipoic acid is also known as thioctic acid; it's extremely vulnerable to degradation by sunlight. Higher concentrations (5% or greater) are capable of causing a burning or stinging sensation on skin."
Alpha-Tocopherol;Best;Antioxidant;Anti-Aging;
Alteromonas Ferment Extract;Good;Plant Extracts, Antioxidant;Hydration;Alteromonas is found in deep areas of seawater. Due to its polysaccharide structure, it has water-binding properties for skin and is reportedly a good soothing ingredient. There is preliminary information indicatiing that this ingredient also contributes to repairing skin’s surface. As more research is done, it appears this ingredient holds even more promise for skin.
Althaea Rosea;Good;Plant Extracts, Texture Enhancer;Soothing;
Althea Officinalis;Best;Plant Extracts, Antioxidant;Soothing;Latin name for the marshmallow plant.
Alumina;Average;Absorbent, Texture Enhancer;Oil Control;Naturally occurring mineral used as an abrasive, a thickening agent, and an absorbent in cosmetics.
Aluminum;Good;;;"Aluminum is the most common element on Earth. It’s also a common source of confusion in terms of its presence in cosmetics, specifically whether that presence poses a health risk. The fact is, when you read “aluminum” on an ingredient list, it isn’t pure aluminum— not even close.
Pure aluminum is not added to any skincare or makeup product. Rather, compounds (mixtures of aluminum), such as aluminum combined with other natural elements, are safety used in a variety of ways in personal care products, foods and medicines. These compounds contain only traces of aluminum, and in daily use over the long term are perfectly safe. Such ingredients actually contain less aluminum than what occurs naturally in plants, vegetables or even in the human body).
Here are a few examples of the most common aluminum compounds used as ingredients in cosmetics, and a brief description of what they are (as well as their global safety status).
1. Aluminum chlorohydrate and aluminum chloride contain only trace quantities of pure aluminum. These are most commonly used in antiperspirant and deodorants (and some medications) with extensive safety records.
2. Alumina is also not “aluminum,” but rather a combination of minerals that contain various mixtures of aluminum, silica, chloride or zirconium and oxygen. It is also known as “aluminum oxide” or “aluminum hydroxide,” and is used safely in cosmetics, medicines and medical devices.
3. Magnesium aluminum silicate is refined from clay and often used as an absorbent ingredient in cosmetics. It is unable to penetrate skin.
4. Aluminum starch is made from a reaction of a plant-derived ingredient (starch), and often used as a thickening or absorbent ingredient in cosmetics. It has an extensive safety record.
In cosmetics, the minute quantities of aluminum present in such ingredients are not at risk of absorption, as it these ingredients are insoluble—they are physically incapable of absorption into the body. This is true of such ingredients, whether they are used in cosmetics or skincare/personal care products.
In fact, skin does not readily absorb cosmetic ingredients. It’s actually quite challenging to penetrate the skin’s outer layers with skincare or medical products- such formulas must be specifically engineered to allow ingredients to penetrate even the most superficial layer of skin.
Thus, aluminum or aluminum ingredients do not contribute to health risks, and a link otherwise has not been established. Quite the opposite, as the Mayo Clinic, The World Health Organization, the European Union and the FDA have all concurred that there is no linkage of aluminum in personal care products to other health risks.
Published literature and an overwhelming amount of research has shown that skin cannot absorb aluminum from these ingredients, and what is used is far less than what we are exposed to daily in the food and water (given aluminum is a natural element that’s present all around us—whether we use products with aluminum ingredients or not)."
Aluminum Hydroxide;Good;Texture Enhancer, Absorbent;Oil Control;Synthetic ingredient that functions as an opacifying agent. Secondary uses include coloring agent and absorbent. Aluminum hydroxide has no known skin toxicity.
Aluminum Magnesium Silicate;Good;Absorbent, pH Adjuster/Stabilizer;Oil Control;Salt that has absorbent properties.
Aluminum Powder;Good;Coloring Agent/Pigment;;Metallic element used as a coloring agent. It is composed of finely ground particles of aluminum. Permanently listed (since 1977) by the FDA as a safe coloring additive.
Aluminum Silicate;Average;Absorbent;Oil Control;Salt that has absorbent and abrasive properties.
Aluminum Starch Octenylsuccinate;Good;Texture Enhancer, Absorbent;Oil Control;A synthetic powdery thickening agent, absorbent, and anti-caking agent used in cosmetics. When listed among the first few ingredients in a product, chances are the product will have a powder-like matte finish and fast dry time.
Aluminum Stearate;Good;Texture Enhancer, pH Adjuster/Stabilizer;;Aluminum stearate is an aluminum salt of stearic acid that functions as a thickening agent and helps stabilize products.
Aluminum Sulfate;Worst;Absorbent;;It can be a skin sensitizer.
Amino Acids;Best;Antioxidant, Humectant;Hydration;"Amino acids are the fundamental constituents of all proteins found in the body, such as: alanine, arginine, asparagine, aspartic acid, cysteine, cystine, glutamic acid, glutamine, glycine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, and valine.
Some of these amino acids can be synthesized by the body; others (known as essential amino acids) must be obtained from protein in the diet. In skin care products, amino acids act as water-binding agents, and some have antioxidant properties. Amino acids can be combined with other ingredients that have skin-restorative ability to work in unison to fight signs of aging.
Note: Research has shown amino acids for skin work best when several of them are combined. For this reason, we rate the amino acids as a group more highly than some individual amino acids. Although some individual amino acids have distinctive benefits compared to others, you would be selling your skin short if you only focused on one particular amino acid."
Aminobutyric Acid;Good;Antioxidant, Humectant;Hydration;Amino acid that has water-binding properties for skin and may be a soothing agent.
Aminomethyl Propanediol;Good;pH Adjuster/Stabilizer;;Used to adjust pH in cosmetics.
Aminomethyl Propanol;Good;pH Adjuster/Stabilizer;;Aminomethyl propanol can be found in all kinds of beauty products from serums and lotions to hair care formulations and dyes, and so on.
Ammonium Acryloyldimethyltaurate/VP Copolymer;Good;Texture Enhancer, Film-Forming Agent, Polymer;Hydration;Ammonium acryloyldimethyltaurate/VP copolymer is a synthetic polymer and film-forming agent that also serves to thicken cosmetic formulas. It is used in low amounts in a variety of products due to its stabilizing abilities and esthetically pleasing feel.
Ammonium Chloride;Worst;pH Adjuster/Stabilizer, Absorbent;;"Alkaline salt used as a pH balancer in skin-care products; it is not used in concentrations that would be problematic for skin."
Ammonium Glycolate;Best;Exfoliant;Evens Skin Tone, Anti-Aging;Synthetic form of glycolic acid used as a pH adjuster and exfoliant. It is sometimes paired with regular glycolic acid to maintain the pH in a range that allows exfoliation.
Ammonium Hydroxide;Average;pH Adjuster/Stabilizer;;Clear, colorless liquid used in cosmetics to adjust a product’s pH. Ammonium hydroxide is synthetic and sometimes used instead of sodium hydroxide to maintain an acidic pH in AHA (alpha hydroxy acid) or similar exfoliant products. The small amounts used in cosmetics are not considered sensitizing on skin.
Ammonium Laureth Sulfate;Good;Cleansing Agent;;"Used primarily as a detergent cleansing agent; considered gentle and effective. It can be derived from coconut."
Ammonium Lauryl Sulfate;Good;Cleansing Agent;;"Used primarily as a detergent cleansing agent; considered gentle and effective. It can be derived from coconut."
Amodimethicone;Good;Silicone, Texture Enhancer, Emollient;Hydration;
Amygdalic Acid;Good;Exfoliant, Antioxidant;Anti-Aging, Evens Skin Tone, Dark Spot Fading;
Amyl Cinnamate;Worst;Fragrance: Synthetic and Natural;;Fragrant component.
Amyl Salicylate;Worst;Fragrance: Synthetic and Natural;;Fragrant component.
Amyris Oil;Worst;Irritant, Plant Extracts;;Fragrant oil. It has no known benefit for skin.
Anacyclus Pyrethrum;Worst;Irritant, Plant Extracts;;
Anacystis Nidulans Extract;Good;Antioxidant, Plant Extracts, Texture Enhancer;Hydration;
Ananas Sativus Fruit Extract;Good;Plant Extracts, Exfoliant;Evens Skin Tone, Anti-Aging;
Anastatica Hierochuntica Extract;Best;Antioxidant, Plant Extracts;Soothing, Anti-Aging;Early research has shown that this plant extract is a potent antioxidant and soothing ingredient, although it isn’t as well-researched as many other plants more widely used in cosmetics. Still, it’s an intriguing ingredient that along with antioxidant benefit may also improve skin tone by modulating factors in skin’s surface that trigger discoloration.
Andiroba Oil;Good;Plant Extracts, Emollient;Hydration, Anti-Aging;"Extracted from the Brazilian mahogany tree; it has skin soothing properties."
Anethum Graveolens;Best;Fragrance: Synthetic and Natural, Plant Extracts;;
Angelica Archangelica Root Oil;Worst;Irritant, Plant Extracts, Antioxidant;;Volatile oil obtained from the angelica plant. The oil contains chemical constituents that can be phototoxic, including bergapten, imperatorin, and xanthotoxin. Although some components of angelica oil have antioxidant ability, it is a risky ingredient to use on skin if it is exposed to sunlight.
Angelica Polymorpha Sinensis Root Extract;Worst;Irritant, Plant Extracts, Antioxidant;;
Anhydroxylitol;Good;Plant Extracts, Humectant;Hydration;A natural, plant-derived ingredient that acts as a humectant to help skin absorb and retain moisture.
Anisaldehyde;Worst;Fragrance: Synthetic and Natural, Irritant;;Synthetic fragrance used in cosmetics.
Anise;Worst;Fragrance: Synthetic and Natural, Irritant, Plant Extracts;;Also known as aniseed, it can have potent antioxidant properties, but its fragrant component makes this a potential skin sensitizer, and it can cause photosensitivity.
Annato Extract;Average;Plant Extracts, Coloring Agent/Pigment, Antioxidant;Anti-Aging;Natural plant colorant derived from the flesh surrounding the seed of Bixa orellana, a shrub native to South America. It produces a deep yellow-orange to red color.
Anthemis Nobilis Flower Extract;Best;Plant Extracts, Antioxidant;Soothing, Anti-Aging;
Anthocyanin;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;Group of naturally occurring substances found in plants that give fruits, vegetables, and plants their unique color. Derived from two Greek words meaning plant and blue, anthocyanins are the pigments that make blueberries blue, raspberries red, and so on. Anthocyanins are potent antioxidants. More than 300 different anthocyanins have been identified.
Antioxidant;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;General term for a large group of natural and synthetic ingredients that work to defend against environmental stress on skin.
Apple Fruit Extract;Best;Antioxidant, Plant Extracts;Anti-Aging, Hydration;General name for various types of apples, all of which have potent antioxidant ability that, at least in theory, can benefit skin when applied topically. There is more research concerning the health benefits of eating apples rather than applying them topically via skincare products, but we know that apples have many valuable components that could benefit skin.
Apricot Kernel;Bad;Exfoliant, Plant Extracts;;Often used as an abrasive agent in so-called “natural” scrubs. Apricot kernals have irregular and sometimes sharp edges that can scratch or tear at skin. These types of scrubs are not recommended over a cotton washcloth or scrubs that contain rounded jojoba or polyethylene (plastic) beads.
Apricot Kernel Oil;Best;Emollient, Plant Extracts, Antioxidant;Hydration, Anti-Aging;Emollient plant oil pressed from the seeds of apricots, and similar to other non-fragrant plant oils in terms of its emollient, skin-smoothing, and antioxidant benefit.
Arachidic Acid;Good;Emollient, Texture Enhancer;Hydration;Derived from peanut oil and used as an emollient and thickening agent in cosmetics.
Arachidyl Alcohol;Good;Emollient, Texture Enhancer;Hydration;Arachidyl alcohol is a waxy substance used as a thickening agent and emollient in cosmetics.
Arachidyl Glucoside;Good;Cleansing Agent, Emulsifier;;Arachidyl glucoside is a mild surfactant (cleansing) and emulsifying agent, made from the condensation of arachidyl alcohol and glucose.
Arachidyl Propionate;Good;Emollient, Texture Enhancer;Hydration;Waxy substance used as a thickening agent and emollient in cosmetics.
Arachis Hypogaea (Peanut) Oil;Good;Emollient, Plant Extracts, Antioxidant;Hydration;Emollient plant oil similar to all nonfragrant plant oils.
Arachis Hypogaea Extract;Best;Emollient, Plant Extracts;Hydration, Soothing;Extract of the plant commonly known as the peanut. It can have emollient and soothing properties for skin.
